Patterns,Sections,Comments
NUM AND “month”,experience,
"NUM AND ""year""",experience,
NUM + “th”,education,
NUM AND CUR,money,
"“ability"" AND ""to”",about,
“actively”,about,
"“active"" AND ""participant”",about,
"“active"" AND ""participation”",about,
“analyze”,work,
“analyse”,work,
"“analysis"" AND ""of”",work,
“aspire”,about,
“attend”,achievement,
“award”,achievement,
“bachelor”,education,
“backend”,skills / work,could be any one of them - need to check examples. we may need to match skills to check which section it falls to.
"“back"" AND ""end”",skills / work,
“basic”,summary,
“be”,summary,
“career”,summary,
“certificate”,achievement,
“certification”,achievement,
“certify”,achievement,
“class”,education,
“clear”,achievement,
“client”,work,
"“client"" AND "":”",work,
"“client"" AND ""name”",work,
"“client"" AND ""company”",work,
"“client"" AND ""organization”",work,
“code”,work,
“coding”,work,
“college”,summary,
“commit”,summary,
“commitment”,summary,
“committed”,work,
“communication”,employer,
"“company"" AND "":”",employer,
"“company"" AND ""name”",employer,
"“company"" AND ""website”",work,
"“company"" AND ""project”",skills,
"""competency"" AND ""area""",experience,"probably this will also fall into education, need to check data."
"""completed"" AND ""month""",experience,
"""completed"" AND ""year""",education,
"""completed""",summary,
"""comprehend""",summary,
"""comprehensive""",skills,
"""computer"" AND ""knowledge""",skills,
"""computer"" AND ""proficiency""",skills,
"""computer"" AND ""programming""",education,
"""computer"" AND ""science""",skills,
"""computer"" AND ""skill""",work,
"""conduct""",summary,
"""confident""",work,
"""configuration""",work,
"""configure""",work,
"""consume""",contact,
"""contact""",work,
"""contribute""",work,
"""convert""",work,
"""coordinate""",work,
"""coordination""",skills,
"""core"" AND ""competence""",skills,
"""core"" AND ""competency""",skills,
"""core"" AND ""skill""",skills,
"""core"" AND ""technology""",work,
"""core"" AND ""team""",work,
"""core"" AND ""work""",contact,
"""correspondence""",education,
"""course""",work,
"""create""",work,
"""created""",work,
"""creation""",work,
"""creator"" AND ""of""",contact,
"""current"" AND ""address""",employer,
"""current"" AND ""company""",employer,
"""current"" AND ""designation""",employer,
"""current"" AND ""employer""",contact,
"""current"" AND ""location""",employer,
"""current"" AND ""organization""",employer,
"""current"" AND ""position""",employer,
