Rule,Category,Example,Score
A_BUT,Possible Typo,So I confused things a but and it was Kai who had planned that.,80
A_GREAT_NUMBER_OF_NN,Grammar,A great number of problem have arisen.,50
A_HUNDREDS,Grammar,A hundreds people were in the store.,50
A_INFINITVE,Grammar,a compete catastrophe.,50
A_KNOW_BUG,Possible Typo,This is a know problem.,80
A_LOT_OF_NN,Grammar,I have a lot of car.,50
A_MUCH_NN1,Grammar,This will be a much work.,50
A_MY,Collocations,The my car is on the maintenance services.,
A_PLURAL,Grammar,I needed to use a text line as a criteria to select users for a list.,50
,,The Syria resolution was a major milestones for the United Nations.,
A_RB_NN,Grammar,This is a philosophically question.,50
A_TRIP_TO,Collocations,John and Jenny week decided to go on a trip in New York.,
,,John and Jenny week decided to go on a trip in New-York.,
,,John and Jenny week decided to go on a trip in York.,
A_UNCOUNTABLE,Grammar,A good knowledge is power.,50
,,A knowledge is power.,
,,A nice accommodation is too expensive.,
,,A very good knowledge is too time-consuming.,
,,A very nice accommodation is too expensive.,
,,An accommodation is too expensive.,
A_WAS,Possible Typo,But is there a was to work around the problem?,80
ABOUT_ITS_NN,Possible Typo,The frog told a story about it's happy childhood in the river.,80
ABOUT_WHO_TO,Possible Typo,What do you think about who to promote?,80
ABSOLUTELY_ESSENTIAL,Redundant Phrases,This is absolutely essential.,
ABSORB_AT_IN,Collocations,I am absorbed at this book.,
ABUNDANCE,Plain English,There is an abundance of flowers in the meadow.,
ACCEDE_TO,Plain English,He acceded to our demands.,
ACCELERATE,Plain English,The car accelerated from traffic lights,
ACCENTUATE,Plain English,The harsh light accentuated the ruggedness of the landscape.,
ACCEPT_EXCEPT,Commonly Confused Words,Please except my apologies.,
,,Police found the culprits (accept one).,
,,This is done accept for that fact that we still have JBossws 2.0.0 binaries.,
ACCOMMODATION,Plain English,Accommodation available.,
ACCOMPANY,Plain English,You need to accompany him.,
ACCOMPANY_WITH,Collocations,Land reclamation is always accompany with pollution.,
ACCOMPLISH,Plain English,Accomplish your work!,
ACCORDING_TO,Grammar,"According about a recent survey, most smokers suffer from cancer.",50
ACCORDING_TO_ME,Grammar,"According to me, this is a great movie.",50
ACCOUNTS_FOR,Collocations,That accounts a rise in price.,
ACCRUE,Plain English,The deposit accrued interest.,
ACCURATE,Plain English,We need accurate information.,
ACCUSE_FOR_OF,Collocations,He is accused for fraud.,
ACCUSE_FOR_OFF,Collocations,She accused the man for stealing.,
ACCUSED_OF_A_CHARGE_CHARGED_WITH,Redundant Phrases,The Magistrate's Court in Kuala Lumpur today decided that a former model accused of a charge of public indecency is fit to stand trial.,
ACCUSTOM_WITH_TO,Collocations,The mechanic is accustomed with handling those situations.,
ACCUSTOMED_TO,Grammar,He is accustomed of playing football now.,50
ACQUIRE,Plain English,He acquired all the tools he needed.,
ACTUAL_EXPERIENCE,Redundant Phrases,This talk is based on actual experience gained during recovery operations following a fire at the Washington National Records.,
AD_NAUSEUM,Possible Typo,The song was playing ad nauseum.,80
ADD_AN_ADDITIONAL,Redundant Phrases,How to Add an Additional Page to a Full Flash Site,
ADDED_BONUS,Redundant Phrases,Added bonus: booting from cdrom.,
ADDICTION_TO_OF,Collocations,I would like to work with people who have an addiction of drugs.,
ADEQUATE_ENOUGH,Redundant Phrases,The Allen test is not adequate enough for the screening of hand circulation.,
ADJECTIVE_IN_ATTRIBUTE,Redundant Phrases,The man is big in size.,
ADMIN_ADMIT,Commonly Confused Words,I must admin that my code is not perfect.,
ADMIT_ENJOY_VB,Grammar,I am accustomed to run.,50
,,I am used to run. I run every day for 30 minutes.,
,,I consider to run my favourite sport.,
,,I enjoy to run.,
,,I look forward to see you.,
,,I regret to read this book.,
,,I'm used to run. I run every day for 30 minutes.,
ADMITTED_AT_TO,Collocations,"On his way to an interview to be admitted at Princeton College, Quentin and his childhood best friend James arrive on a crime scene where they find the corpse of the man who was supposed to interview the former, along with a very nonchalant paramedic.",
ADOPT_TO,Commonly Confused Words,Maybe you will need time to adopt to the situation.,
ADVANCE_PLANNING,Redundant Phrases,Advance planning is one strategy couples can use to establish legal rights.,
ADVERB_WORD_ORDER,Grammar,Always I am happy.,50
,,Ever it was thus.,
,,I always will love you.,
,,I am happy always.,
,,I am here and I sometimes am happy.,
,,I go often to bed before midnight.,
,,I sometimes am happy.,
,,They have been often seen together.,
,,They have been seen often together.,
,,They often have been seen together.,
ADVERSE_AVERSE,Commonly Confused Words,Are you adverse to eating horse meat?,
ADVERTISEMENT_OF_FOR,Collocations,Nice advertisement of your company.,
ADVICE_ADVISE,Commonly Confused Words,We advice you to do it.,
ADVISE_VBG,Grammar,All he did was to help carrying the bags.,50
,,All he did was to help not carrying the bags.,
,,All he did was to help us getting on the bus.,
,,All he did was to help us not staying calm.,
,,He advised not staying calm.,
,,He advised staying calm.,
,,He advised us not staying calm.,
,,He advised us staying calm.,
,,He helped not buying some crap.,
,,He helped us getting on the bus.,
,,He helped us not staying calm.,
AFFECT_EFFECT,Commonly Confused Words,A side affect of global warming,
,,A side-affect of global warming,
,,It had the same affect on me.,
,,Parking Fees are in affect in this park.,
,,Regional factors have an affect on hotel guest satisfaction.,
,,She was badly effected.,
,,That might adversely effect the bottom line.,
,,That might effect the bottom line.,
,,The ban took affect at midnight.,
,,The experiment didn't obey the laws of cause and affect.,
,,The laws had an immediate affect.,
,,The medicine shouldn't effect the baby.,
,,The medicine would've effected the baby.,
,,The primary affect on property values.,
,,The side affects of global warming,
,,There was a law with immediate affects.,
,,"We tried appeasing the rain gods, but to no affect.",
AFFORD_VB,Grammar,We cannot afford not spend the whole month in the Alps.,50
,,We cannot afford spend the whole month in the Alps.,
AFFORD_VBG,Grammar,We cannot afford not spending the whole month in the Alps.,50
,,We cannot afford spending the whole month in the Alps.,
AFRAID_FROM_OF,Collocations,Rats are afraid from cats.,
AFRAID_OF_HEIGHT,Grammar,I'm afraid of dark.,50
,,I'm afraid of open space.,
,,I'm afraid of spider.,
AFTER_BEEN,Possible Typo,"After been assaulted, the man was often wary.",80
AFTERALL,Possible Typo,"Afterall, there isn't any food to be had in this country.",80
AGREE_WITH_THE_FACT,Redundant Phrases,I agree with the fact that the sky is blue.,
,,We did not disagree with the fact that the sky is blue.,
AGREEMENT_QUESTION,Grammar,Do your father live in England?,50
,,Does your parents live in England?,
,,Has your parents told you everything?,
,,Have your father lived in England?,
,,Where is your dogs?,
AGREEMENT_SENT_START,Grammar,Both element are red.,50
,,Both of them believes in God.,
,,Cars is useful.,
,,Cats sleeps more than 15 hours per day.,
,,"Do you know what the dogs, which are specially trained to detect organic matter, eats?",
,,"Do you know whether the users from Asia, for example, wants to learn English?",
,,Each of the children are happy.,
,,"He asked whether the black dogs, mostly dachshunds and terrier mixes, barks loudly.",
,,"He asked whether the dogs of war, mostly dachshunds and terrier mixes, barks loudly.",
,,How can we know whether the black dogs barks loudly?,
,,Is this the house in which the dogs of war sleeps each night?,
,,Many users in Asia wants to learn English.,
,,"Many users in Asia, for example, wants to learn English.",
,,She asked whether the users from Asia wants to learn English.,
,,She wanted to know whether the dogs barks loudly.,
,,The black dogs barks loudly.,
,,"The black dogs, mostly dachshunds and terrier mixes, barks loudly.",
,,The dogs barks loudly.,
,,The dogs is released.,
,,The dogs of war barks loudly.,
,,The dogs of war is released.,
,,The dogs of war was released.,
,,"The dogs of war, finally, is released.",
,,"The dogs of war, however, was released.",
,,"The dogs of war, mostly dachshunds and terrier mixes, barks loudly.",
,,The dogs was released.,
,,"The dogs, Bob and Ben, is released.",
,,"The dogs, Bob and Ben, was released.",
,,"The dogs, which are specially trained to detect organic matter, patrols the nearly 4,000 vehicles.",
,,The teacher and her students is in the classroom.,
